,FIPs,County,State,Zip_Code,Station
301,8115,Sedgwick County,CO,80721,KHEQ
302,8117,Summit County,CO,80443,KEGE
303,8119,Teller County,CO,80813,KFCS
304,8121,Washington County,CO,80741,KSTK
305,8123,Weld County,CO,80642,KDEN
306,8125,Yuma County,CO,80758,KIML
307,9001,Fairfield County,CT,6484,KHVN
308,9003,Hartford County,CT,6040,KBDL
309,9005,Litchfield County,CT,6021,KBDL
310,9007,Middlesex County,CT,6073,KBDL
311,9009,New Haven County,CT,6422,KHVN
312,9011,New London County,CT,6231,KBDL
313,9013,Tolland County,CT,6066,KBDL
314,9015,Windham County,CT,6277,KORH
315,10001,Kent County,DE,19977,KDOV
316,10003,New Castle County,DE,19711,KILG
317,10005,Sussex County,DE,19958,KGED
318,11001,District of Columbia,DC,20001,KDCA
319,12001,Alachua County,FL,32601,KGNV
320,12003,Baker County,FL,32234,KVQQ
321,12005,Bay County,FL,32405,KPAM
322,12007,Bradford County,FL,32091,KGNV
323,12009,Brevard County,FL,32901,KMLB
324,12011,Broward County,FL,33019,KFLL
325,12013,Calhoun County,FL,32420,KMAI
326,12015,Charlotte County,FL,34223,KVNC
327,12017,Citrus County,FL,34449,KCGC
328,12019,Clay County,FL,32050,KVQQ
329,12021,Collier County,FL,34119,KAPF
330,12023,Columbia County,FL,32038,KGNV
331,12027,DeSoto County,FL,34268,KPGD
332,12029,Dixie County,FL,32008,KCTY
333,12031,Duval County,FL,32233,KNRB
334,12033,Escambia County,FL,32506,KNPA
335,12035,Flagler County,FL,32145,KSGJ
336,12037,Franklin County,FL,32320,KAAF
337,12039,Gadsden County,FL,32324,KMAI
338,12041,Gilchrist County,FL,32008,KCTY
339,12043,Glades County,FL,33944,KOBE
340,12045,Gulf County,FL,32456,KPAM
341,12047,Hamilton County,FL,32052,KVLD
342,12049,Hardee County,FL,33841,KBOW
343,12051,Hendry County,FL,33975,KRSW
344,12053,Hernando County,FL,34601,KBKV
345,12055,Highlands County,FL,33843,KBOW
346,12057,Hillsborough County,FL,33511,KVDF
347,12059,Holmes County,FL,32455,KECP
348,12061,Indian River County,FL,32963,KVRB
349,12063,Jackson County,FL,32443,KMAI
350,12065,Jefferson County,FL,32309,KTLH
351,12067,Lafayette County,FL,32008,KCTY
352,12069,Lake County,FL,32195,KSFB
353,12071,Lee County,FL,33907,KFMY
354,12073,Leon County,FL,32305,KTLH
355,12075,Levy County,FL,34449,KCGC
356,12077,Liberty County,FL,32334,KTLH
357,12079,Madison County,FL,32350,KVLD
358,12081,Manatee County,FL,34208,KSRQ
359,12083,Marion County,FL,32195,KSFB
360,12085,Martin County,FL,33478,KSUA
361,12086,Miami-Dade County,FL,33015,KOPF
362,12087,Monroe County,FL,33040,KEYW
363,12089,Nassau County,FL,32046,KJAX
364,12091,Okaloosa County,FL,32547,KVPS
365,12093,Okeechobee County,FL,34972,KOBE
366,12095,Orange County,FL,32710,KORL
367,12097,Osceola County,FL,34746,KISM
368,12099,Palm Beach County,FL,33403,KPBI
369,12101,Pasco County,FL,34653,KBKV
370,12103,Pinellas County,FL,33701,KSPG
371,12105,Polk County,FL,33547,KVDF
372,12107,Putnam County,FL,32131,KSGJ
373,12109,St. Johns County,FL,32131,KSGJ
374,12111,St. Lucie County,FL,34951,KFPR
375,12113,Santa Rosa County,FL,32571,KPNS
376,12115,Sarasota County,FL,34223,KVNC
377,12117,Seminole County,FL,32701,KORL
378,12119,Sumter County,FL,34731,KLEE
379,12121,Suwannee County,FL,32038,KGNV
380,12123,Taylor County,FL,32357,KVLD
381,12125,Union County,FL,32058,KGNV
382,12127,Volusia County,FL,32170,KDAB
383,12129,Wakulla County,FL,32326,KTLH
384,12131,Walton County,FL,32455,KECP
385,12133,Washington County,FL,32428,KECP
386,13001,Appling County,GA,31557,KJES
387,13003,Atkinson County,GA,31552,KAYS
388,13005,Bacon County,GA,31551,KBHC
389,13007,Baker County,GA,39841,KBIJ
390,13009,Baldwin County,GA,31033,KMCN
391,13011,Banks County,GA,30511,KGVL
392,13013,Barrow County,GA,30548,KWDR
393,13015,Bartow County,GA,30123,KVPC
394,13017,Ben Hill County,GA,31001,KDBN
395,13019,Berrien County,GA,31622,KDQH
396,13021,Bibb County,GA,31211,KMCN
397,13023,Bleckley County,GA,31036,KWRB
398,13025,Brantley County,GA,31543,KJES
399,13027,Brooks County,GA,31625,KMGR
400,13029,Bryan County,GA,31302,KSAV
401,13031,Bulloch County,GA,31308,KSAV
402,13033,Burke County,GA,30426,KAGS
403,13035,Butts County,GA,30223,KFFC
404,13037,Calhoun County,GA,39840,KBIJ
405,13039,Camden County,GA,31548,KFHB
406,13043,Candler County,GA,30420,KVDI
407,13045,Carroll County,GA,30179,KCTJ
408,13047,Catoosa County,GA,30707,KCHA
409,13049,Charlton County,GA,31537,KJAX
410,13051,Chatham County,GA,31302,KSAV
411,13053,Chattahoochee County,GA,31905,KLSF
412,13055,Chattooga County,GA,30105,KRMG
413,13057,Cherokee County,GA,30534,KGVL
414,13059,Clarke County,GA,30604,KATL
415,13061,Clay County,GA,39854,KBIJ
416,13063,Clayton County,GA,30236,KATL
417,13065,Clinch County,GA,31642,KDQH
418,13067,Cobb County,GA,30068,KMGE
419,13069,Coffee County,GA,31532,KDQH
420,13071,Colquitt County,GA,31738,KMGR
421,13073,Columbia County,GA,30824,KDNL
422,13075,Cook County,GA,31647,KVAD
423,13077,Coweta County,GA,30271,KATL
424,13079,Crawford County,GA,31016,KOPN
425,13081,Crisp County,GA,31072,KWRB
426,13083,Dade County,GA,30752,KCHA
427,13085,Dawson County,GA,30534,KGVL
428,13087,Decatur County,GA,39834,KTLH
429,13089,DeKalb County,GA,30032,KPDK
430,13091,Dodge County,GA,31011,KDBN
431,13093,Dooly County,GA,31072,KWRB
432,13095,Dougherty County,GA,31791,KABY
433,13097,Douglas County,GA,30134,KFTY
434,13099,Early County,GA,39841,KBIJ
435,13101,Echols County,GA,31636,KVLD
436,13103,Effingham County,GA,31302,KSAV
437,13105,Elbert County,GA,30635,KGSP
438,13107,Emanuel County,GA,30457,KVDI
439,13109,Evans County,GA,30423,KLHW
440,13111,Fannin County,GA,30541,KDNN
441,13113,Fayette County,GA,30269,KFFC
442,13115,Floyd County,GA,30124,KRMG
443,13117,Forsyth County,GA,30534,KGVL
444,13119,Franklin County,GA,30520,KGSP
445,13121,Fulton County,GA,30076,KPDK
446,13123,Gilmer County,GA,30534,KGVL
447,13125,Glascock County,GA,30810,KDNL
448,13127,Glynn County,GA,31543,KJES
449,13129,Gordon County,GA,30701,KRMG
450,13131,Grady County,GA,39834,KTLH
451,13133,Greene County,GA,30677,KAHN
452,13135,Gwinnett County,GA,30043,KLZU
453,13137,Habersham County,GA,30511,KGVL
454,13139,Hall County,GA,30518,KLZU
455,13141,Hancock County,GA,30678,KAGS
456,13143,Haralson County,GA,30179,KCTJ
457,13145,Harris County,GA,31811,KCSG
